Group,Condition,Time Group,Behavior,Fraction Time,Bouts per Minute,Mean Bout Duration (s)
Combined,5Per Formalin,0-10 min,1,0.46575757575757576,23.545454545454547,1.1868725868725867
Combined,5Per Formalin,0-10 min,0,0.37212121212121213,21.09090909090909,1.0586206896551724
Combined,5Per Formalin,0-10 min,3,0.07424242424242425,4.181818181818182,1.065217391304348
Combined,5Per Formalin,0-10 min,4,0.039242424242424245,2.272727272727273,1.036
Combined,5Per Formalin,0-10 min,2,0.04863636363636364,2.6363636363636362,1.1068965517241378
Combined,5Per Formalin,11-30 min,0,0.3907894736842105,27.842105263157894,0.8421550094517959
Combined,5Per Formalin,11-30 min,1,0.526140350877193,29.105263157894736,1.084629294755877
Combined,5Per Formalin,11-30 min,4,0.0034210526315789475,0.3684210526315789,0.5571428571428572
Combined,5Per Formalin,11-30 min,2,0.0387719298245614,2.1578947368421053,1.078048780487805
Combined,5Per Formalin,11-30 min,3,0.04087719298245614,1.3157894736842106,1.864
