Group,Condition,Time Group,Behavior,Behavior Label,Fraction Time,Bouts per Minute,Mean Bout Duration (s)
Combined,1Per Formalin,0-10 min,0,still,0.32015151515151513,21.0,0.9147186147186147
Combined,1Per Formalin,0-10 min,1,walking,0.4362121212121212,23.181818181818183,1.1290196078431372
Combined,1Per Formalin,0-10 min,3,grooming,0.07787878787878788,3.6363636363636362,1.285
Combined,1Per Formalin,0-10 min,4,licking hindpaw L,0.04863636363636364,2.0,1.4590909090909092
Combined,1Per Formalin,0-10 min,2,rearing,0.11712121212121213,6.181818181818182,1.136764705882353
Combined,1Per Formalin,11-30 min,0,still,0.33245614035087717,17.31578947368421,1.1519756838905775
Combined,1Per Formalin,11-30 min,1,walking,0.30780701754385964,18.68421052631579,0.9884507042253521
Combined,1Per Formalin,11-30 min,2,rearing,0.12359649122807018,7.684210526315789,0.965068493150685
Combined,1Per Formalin,11-30 min,3,grooming,0.19596491228070176,5.368421052631579,2.1901960784313723
Combined,1Per Formalin,11-30 min,4,licking hindpaw L,0.03236842105263158,0.5789473684210527,3.3545454545454545
Combined,1Per Formalin,11-30 min,5,licking hindpaw R,0.0078070175438596495,0.10526315789473684,4.45
