Group,Condition,Time Group,Behavior,Behavior Label,Fraction Time,Bouts per Minute,Mean Bout Duration (s)
Combined,5Per Formalin,0-10 min,1,walking,0.34045454545454545,16.545454545454547,1.2346153846153847
Combined,5Per Formalin,0-10 min,0,still,0.4706060606060606,15.090909090909092,1.8710843373493977
Combined,5Per Formalin,0-10 min,2,rearing,0.042272727272727274,2.727272727272727,0.9299999999999999
Combined,5Per Formalin,0-10 min,4,licking hindpaw L,0.07439393939393939,4.363636363636363,1.0229166666666667
Combined,5Per Formalin,0-10 min,3,grooming,0.07227272727272727,4.909090909090909,0.8833333333333333
Combined,5Per Formalin,11-30 min,1,walking,0.35017543859649125,22.05263157894737,0.952744630071599
Combined,5Per Formalin,11-30 min,0,still,0.47271929824561404,22.263157894736842,1.2739952718676122
Combined,5Per Formalin,11-30 min,2,rearing,0.05043859649122807,2.8421052631578947,1.0648148148148147
Combined,5Per Formalin,11-30 min,3,grooming,0.07587719298245614,2.9473684210526314,1.5446428571428572
Combined,5Per Formalin,11-30 min,4,licking hindpaw L,0.04684210526315789,1.1578947368421053,2.4272727272727272
Combined,5Per Formalin,11-30 min,5,licking hindpaw R,0.003947368421052632,0.3684210526315789,0.6428571428571428
