Group,Condition,Time Group,Behavior,Behavior Label,Fraction Time,Bouts per Minute,Mean Bout Duration (s)
Combined,1Per Formalin,0-10 min,1,walking,0.42333333333333334,20.90909090909091,1.2147826086956524
Combined,1Per Formalin,0-10 min,0,still,0.3836363636363636,18.727272727272727,1.2291262135922332
Combined,1Per Formalin,0-10 min,3,grooming,0.04106060606060606,1.4545454545454546,1.69375
Combined,1Per Formalin,0-10 min,4,licking hindpaw L,0.04090909090909091,1.6363636363636365,1.5
Combined,1Per Formalin,0-10 min,2,rearing,0.11106060606060605,4.909090909090909,1.3574074074074074
Combined,1Per Formalin,11-30 min,0,still,0.3824561403508772,18.68421052631579,1.228169014084507
Combined,1Per Formalin,11-30 min,1,walking,0.24754385964912282,17.736842105263158,0.8373887240356084
Combined,1Per Formalin,11-30 min,2,rearing,0.2507017543859649,8.736842105263158,1.7216867469879518
Combined,1Per Formalin,11-30 min,3,grooming,0.0906140350877193,3.263157894736842,1.6661290322580646
Combined,1Per Formalin,11-30 min,4,licking hindpaw L,0.02850877192982456,0.6842105263157895,2.5
Combined,1Per Formalin,11-30 min,5,licking hindpaw R,0.00017543859649122806,0.05263157894736842,0.2
