Group,Condition,Time Group,Behavior,Behavior Label,Fraction Time,Bouts per Minute,Mean Bout Duration (s)
Combined,1Per Formalin,0-10 min,1,walking,0.4893939393939394,23.818181818181817,1.2328244274809161
Combined,1Per Formalin,0-10 min,4,licking hindpaw L,0.07181818181818182,3.5454545454545454,1.2153846153846153
Combined,1Per Formalin,0-10 min,0,still,0.22742424242424242,19.818181818181817,0.6885321100917431
Combined,1Per Formalin,0-10 min,3,grooming,0.08803030303030303,6.0,0.8803030303030304
Combined,1Per Formalin,0-10 min,2,rearing,0.12333333333333334,8.545454545454545,0.8659574468085106
Combined,1Per Formalin,11-30 min,1,walking,0.4012280701754386,26.0,0.9259109311740891
Combined,1Per Formalin,11-30 min,0,still,0.2540350877192982,20.736842105263158,0.7350253807106599
Combined,1Per Formalin,11-30 min,2,rearing,0.16736842105263158,12.894736842105264,0.7787755102040816
Combined,1Per Formalin,11-30 min,3,grooming,0.1394736842105263,12.578947368421053,0.6652719665271967
Combined,1Per Formalin,11-30 min,4,licking hindpaw L,0.037894736842105266,2.6842105263157894,0.8470588235294118
